3888.646    HeI
3964.727    HeI
4026.189    HeI
4471.477    HeI
4713.143    HeI
4921.929    HeI
5015.675    HeI
5400.562    NeI(3)
5764.418    NeI(13)
5852.4878   NeI(6)
5944.8342   NeI(1)
6029.9971   NeI(3)
6074.3377   NeI(3)
6096.1630   NeI
6143.0623   NeI(1)
6163.5939   NeI(5)
6217.2813   NeI(1)
6266.4950   NeI(5)
6304.7892   NeI
6334.4279   NeI(1)
6382.9914   NeI(3)
6402.246    NeI(1)
6506.5279   NeI(3)
6532.8824   NeI
6598.9529   NeI(6)
6678.2      blend HeI 6678.149 with NeI 6678.2764
6717.0428   NeI
6929.468    NeI(6)
7032.4127   NeI(1)
7065.188    HeI
7173.939    NeI(6)
7245.167    NeI(3)
7281.349    HeI
7438.899    NeI
7488.872    NeI
7535.775    NeI
8082.458    NeI(6)
8300.326    NeI(12)
8377.607    NeI(12)
8495.360    NeI(18)
8634.648    NeI(23)
8654.383    NeI(33)
8853.866    NeI(27)
9148.68     NeI(30)
9425.38     NeI(36)
9534.167    NeI(38)
