3834.6790   ArI      7
3948.9788   ArI     35
4044.4182   ArI     50
4158.5903   ArI    400
4181.8840   ArI     50
4190.7130   ArI    100
4198.3170   ArI    200
4200.6743   ArI    400 
4259.3620   ArI    200
4266.2860   ArI    100
4272.1690   ArI    150
4300.1011   ArI    100
4333.5610   ArI    150
4345.1680   ArI     25
4510.7330   ArI    100
4596.0970   ArI     15
4628.4410   ArI      7
4702.3160   ArI     15
5151.3910   ArI      5
5162.2847   ArI     15
5187.7461   ArI     20
5221.2710   ArI      7
5252.7881   ArI      3
5495.8740   ArI     25   
5558.7021   ArI     25
5606.7329   ArI     35
5650.7036   ArI     20
5739.5190   ArI     10
5834.2630   ArI      5
5860.3149   ArI     10
5882.6240   ArI     15 
5888.5840   ArI     25 
5912.0854   ArI     50
6032.1274   ArI     70
6043.2230   ArI     35
6059.3720   ArI     20
6105.6350   ArI     10
6145.4410   ArI     10
6172.2778   ArI     10
6212.5030   ArI     10
6296.8720   ArI      7
6307.6570   ArI     15
6384.7168   ArI     20
6416.3071   ArI     70
6538.1120   ArI     15 
6604.8530   ArI     15
6677.2820   ArI    100
6752.8335   ArI    150
6871.2891   ArI    150
6965.4307   ArI  10000
