3650.1580   HgI    9000
3654.8420   HgI    3000
3662.8870   HgI     500
3663.2840   HgI    2000
4046.5650   HgI   12000
4077.8370   HgI    1000
4339.2232   HgI      50
4347.4945   HgI     150 
4358.3350   HgI   12000
4916.0680   HgI      20
5290.7400   HgI      30  	
5460.7500   HgI    6000
5764.4190   NeI      10
5769.6100   HgI    1000
5790.6700   HgI     900
5803.7820   HgI     400 
5852.4878   NeI   20000
5881.8950   NeI   10000
5975.5343   NeI    6000
6029.9968   NeI   10000  
6074.3376   NeI   10000
6096.1630   NeI    3000
6143.0627   NeI   10000
6163.5937   NeI   10000
6217.2812   NeI   10000
6266.4952   NeI   10000
6304.7893   NeI    1000
6334.4276   NeI   10000
6382.9914   NeI   10000
6402.2480   NeI   20000
6506.5277   NeI   15000  
6532.8824   NeI    1000
6598.9528   NeI   10000  
6678.2766   NeI    5000
6717.0430   NeI     700
6929.4672   NeI  100000
7024.0500   NeI   34000 
7032.4128   NeI   85000
