|        Name | active |           RA |          Dec |  Discovery |       V |  date_Vmax |  Vmax |           Type |         z | asassn | flcogt | fnorth | fswift | psf | stop_all |
|     2019tlu |      1 | 22:51:07.411 | +53:50:15.04 | 2019-10-27 |    15.4 |        --- |  99.9 |            unk |       n/a |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019tja |      1 | 22:14:32.604 | -69:22:11.64 | 2019-10-25 |    17.4 |        --- |  99.9 |             Ia |  0.010621 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019tjc |      1 | 10:01:51.578 | +17:40:53.43 | 2019-10-25 |  19.065 |        --- |  99.9 |             Ia |     0.074 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019thi |      1 | 11:15:15.290 | -27:39:11.70 | 2019-10-23 |    17.5 |        --- |  99.9 |            unk |  0.013065 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019syt |      1 | 16:55:22.900 | -66:37:52.60 | 2019-10-19 |    15.5 |        --- |  99.9 |            unk |       n/a |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019swh |      1 | 07:22:09.108 | -29:13:35.44 | 2019-10-06 |  15.849 |        --- |  99.9 |             Ia |  0.010124 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019svu |      1 | 02:39:23.479 | +12:40:49.78 | 2019-10-19 |  17.619 |        --- |  99.9 |            unk |       n/a |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019spa |      1 | 03:08:32.223 | -10:02:26.76 | 2019-10-16 |  18.325 |        --- |  99.9 |          SN Ia |     0.032 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019spp |      1 | 20:26:34.085 | -24:30:17.05 | 2019-10-17 |   16.75 |        --- |  99.9 |            unk |       n/a |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019sob |      1 | 16:34:34.400 | -77:08:10.60 | 2019-10-14 |    17.1 |        --- |  99.9 |            unk |       n/a |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019spl |      1 | 09:53:21.233 | +00:41:50.02 | 2019-10-16 |   18.55 |        --- |  99.9 |            unk |  0.012862 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019sox |      1 | 21:31:24.760 | +02:29:38.97 | 2019-10-16 |    18.7 |        --- |  99.9 |             II |  0.010918 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019smd |      1 | 21:51:34.505 | +35:16:19.35 | 2019-10-13 |    16.9 |        --- |  99.9 |            unk |       n/a |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019sam |      1 | 06:10:57.890 | -31:40:24.96 | 2019-10-04 |    15.1 |        --- |  99.9 |            unk |       n/a |      1 |      1 |      0 |      0 |   0 |        0 |
|     2019rwi |      1 | 22:16:21.650 | -36:25:18.20 | 2019-10-04 |    17.0 |        --- |  99.9 |            unk |  0.011500 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019rqt |      1 | 19:45:12.286 | -55:20:26.92 | 2019-10-02 |    17.1 |        --- |  99.9 |            unk |  0.014940 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019rpa |      1 | 01:33:43.610 | +34:48:45.19 | 2019-10-01 |    19.6 |        --- |  99.9 |            unk |  0.014000 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019qyk |      1 |  10:22:42.29 | +46:14:43.20 | 2019-09-25 |    16.0 |        --- |  99.9 |             Ia |  0.016875 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019qym |      1 | 03:00:00.420 | +30:59:18.31 | 2019-09-24 |    18.6 |        --- |  99.9 |             Ia |  0.019917 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019qeu |      1 | 19:53:46.552 | -07:48:38.13 | 2019-09-12 |    15.0 |        --- |  99.9 |            unk |       n/a |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019qar |      1 | 21:35:46.010 | -63:54:16.03 | 2019-09-12 |    17.5 |        --- |  99.9 |         Ib-pec |  0.010344 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019pqo |      1 | 15:41:30.333 | +15:47:03.30 | 2019-09-07 | 18.6697 |        --- |  99.9 |            unk |  0.013649 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019pmm |      1 | 01:35:16.157 | +78:19:46.53 | 2019-09-06 |   16.94 |        --- |  99.9 |            unk |       n/a |      0 |      0 |      0 |      0 |   0 |        0 |
